example_id                                                        | status  | run_time        |
./spec/features/search_spec.rb[1:1:7]                             | passed  | 1.34 seconds    |
./spec/features/search_spec.rb[1:1:8]                             | passed  | 1.38 seconds    |
./spec/features/search_spec.rb[1:1:9]                             | passed  | 1.39 seconds    |
./spec/features/search_spec.rb[1:1:10]                            | passed  | 1.45 seconds    |
./spec/features/search_spec.rb[1:1:11]                            | passed  | 1.33 seconds    |
./spec/features/static_pages_spec.rb[1:1:1]                       | passed  | 1.14 seconds    |
./spec/features/static_pages_spec.rb[1:1:2]                       | passed  | 1.1 seconds     |
./spec/helpers/events/registrations_helper_spec.rb[1:1]           | pending | 0.00002 seconds |
./spec/helpers/events_helper_spec.rb[1:1]                         | pending | 0.00004 seconds |
./spec/helpers/groups/members_helper_spec.rb[1:1]                 | pending | 0.00003 seconds |
./spec/helpers/groups_helper_spec.rb[1:1]                         | pending | 0.00002 seconds |
./spec/helpers/members_helper_spec.rb[1:1]                        | pending | 0.00006 seconds |
./spec/helpers/organizations_helper_spec.rb[1:1]                  | pending | 0.00002 seconds |
./spec/helpers/static_pages_helper_spec.rb[1:1]                   | pending | 0.00003 seconds |
./spec/models/event/registration_spec.rb[1:1]                     | pending | 0.00002 seconds |
./spec/models/event/search_spec.rb[1:1]                           | passed  | 0.05082 seconds |
./spec/models/event/search_spec.rb[1:2]                           | passed  | 0.04696 seconds |
./spec/models/event/search_spec.rb[1:3]                           | passed  | 0.05537 seconds |
./spec/models/event/search_spec.rb[1:4]                           | passed  | 0.05919 seconds |
./spec/models/event_spec.rb[1:1]                                  | passed  | 0.0036 seconds  |
./spec/models/event_spec.rb[1:2]                                  | passed  | 0.00649 seconds |
./spec/models/event_spec.rb[1:3]                                  | passed  | 0.00365 seconds |
./spec/models/event_spec.rb[1:4]                                  | passed  | 0.00419 seconds |
./spec/models/event_spec.rb[1:5]                                  | passed  | 0.00489 seconds |
./spec/models/event_spec.rb[1:6]                                  | passed  | 0.00408 seconds |
./spec/models/event_spec.rb[1:7]                                  | passed  | 0.00362 seconds |
./spec/models/event_spec.rb[1:8]                                  | passed  | 0.00359 seconds |
./spec/models/event_spec.rb[1:9]                                  | passed  | 0.00548 seconds |
./spec/models/event_spec.rb[1:10]                                 | passed  | 0.00352 seconds |
./spec/models/event_spec.rb[1:11]                                 | passed  | 0.0037 seconds  |
./spec/models/group/search_spec.rb[1:1]                           | passed  | 0.04643 seconds |
./spec/models/group/search_spec.rb[1:2]                           | passed  | 0.0373 seconds  |
./spec/models/group/search_spec.rb[1:3]                           | passed  | 0.03729 seconds |
./spec/models/group/search_spec.rb[1:4]                           | passed  | 0.05333 seconds |
./spec/models/group_spec.rb[1:1]                                  | passed  | 0.00368 seconds |
./spec/models/group_spec.rb[1:2]                                  | passed  | 0.00455 seconds |
./spec/models/group_spec.rb[1:3]                                  | passed  | 0.00361 seconds |
./spec/models/group_spec.rb[1:4]                                  | passed  | 0.00356 seconds |
./spec/models/group_spec.rb[1:5]                                  | passed  | 0.00486 seconds |
./spec/models/group_spec.rb[1:6]                                  | passed  | 0.00366 seconds |
./spec/models/group_spec.rb[1:7]                                  | passed  | 0.005 seconds   |
./spec/models/group_spec.rb[1:8]                                  | passed  | 0.00356 seconds |
./spec/models/member/search_spec.rb[1:1]                          | passed  | 0.04311 seconds |
./spec/models/member/search_spec.rb[1:2]                          | passed  | 0.06683 seconds |
./spec/models/member/search_spec.rb[1:3]                          | passed  | 0.04582 seconds |
./spec/models/member/search_spec.rb[1:4]                          | passed  | 0.05013 seconds |
./spec/models/member_spec.rb[1:1]                                 | passed  | 0.00308 seconds |
./spec/models/member_spec.rb[1:2]                                 | passed  | 0.00483 seconds |
./spec/models/member_spec.rb[1:3]                                 | passed  | 0.00395 seconds |
./spec/models/member_spec.rb[1:4]                                 | passed  | 0.00349 seconds |
./spec/models/member_spec.rb[1:5]                                 | passed  | 0.00312 seconds |
./spec/models/member_spec.rb[1:6]                                 | passed  | 0.0033 seconds  |
./spec/models/member_spec.rb[1:7]                                 | passed  | 0.00745 seconds |
./spec/models/member_spec.rb[1:8]                                 | passed  | 0.00309 seconds |
./spec/models/organization/search_spec.rb[1:1]                    | passed  | 0.03229 seconds |
./spec/models/organization/search_spec.rb[1:2]                    | passed  | 0.02963 seconds |
./spec/models/organization/search_spec.rb[1:3]                    | passed  | 0.0354 seconds  |
./spec/models/organization/search_spec.rb[1:4]                    | passed  | 0.0321 seconds  |
./spec/models/organization_spec.rb[1:1]                           | passed  | 0.00422 seconds |
./spec/models/organization_spec.rb[1:2]                           | passed  | 0.00528 seconds |
./spec/models/organization_spec.rb[1:3]                           | passed  | 0.00541 seconds |
./spec/models/organization_spec.rb[1:4]                           | passed  | 0.0061 seconds  |
./spec/models/organization_spec.rb[1:5]                           | passed  | 0.00476 seconds |
./spec/models/organization_spec.rb[1:6]                           | passed  | 0.00471 seconds |
./spec/models/organization_spec.rb[1:7]                           | passed  | 0.00471 seconds |
./spec/models/organization_spec.rb[1:8]                           | passed  | 0.00374 seconds |
./spec/models/organization_spec.rb[1:9]                           | passed  | 0.00508 seconds |
./spec/models/organization_spec.rb[1:10]                          | passed  | 0.00404 seconds |
./spec/models/organization_spec.rb[1:11]                          | passed  | 0.00467 seconds |
./spec/models/organization_spec.rb[1:12]                          | passed  | 0.00393 seconds |
./spec/views/organizations/create.html.erb_spec.rb[1:1]           | pending | 0.00004 seconds |
./spec/views/organizations/destroy.html.erb_spec.rb[1:1]          | pending | 0.00004 seconds |
./spec/views/organizations/edit.html.erb_spec.rb[1:1]             | pending | 0.00004 seconds |
./spec/views/organizations/index.html.erb_spec.rb[1:1]            | pending | 0.00002 seconds |
./spec/views/organizations/new.html.erb_spec.rb[1:1]              | pending | 0.00002 seconds |
./spec/views/organizations/update.html.erb_spec.rb[1:1]           | pending | 0.00002 seconds |
./spec/views/static_pages/about.html.erb_spec.rb[1:1]             | passed  | 0.00902 seconds |
./spec/views/static_pages/help.html.erb_spec.rb[1:1]              | passed  | 0.00953 seconds |
./spec/views/static_pages/home.html.erb_spec.rb[1:1]              | passed  | 0.06852 seconds |
